Prompt,Label
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] campaigns'},1
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] events'},1
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] cart'},0
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] product_reviews_and_ratings'},0
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] customers_loyalty_program'},0
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] shipping'},0
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] wishlist'},0
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] customerInfo'},1
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] orders'},1
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] suppliers'},0
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] transactions_and_payments'},1
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] refunds_returns'},0
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] order_items'},0
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] products'},1
{'Find the average time spent on the website by users who clicked on a push notification and completed a survey. [SEP] inventory'},1
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] wishlist'},1
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] order_items'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] cart'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] shipping'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] customers_loyalty_program'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] refunds_returns'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] inventory'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] orders'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] events'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] campaigns'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] suppliers'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] product_reviews_and_ratings'},0
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] customerInfo'},1
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] products'},1
{'Get the count of wishlist items for each user and sort them in descending order. [SEP] transactions_and_payments'},0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] customers_loyalty_program""}",1
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] cart""}",1
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] products""}",1
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] order_items""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] wishlist""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] shipping""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] product_reviews_and_ratings""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] campaigns""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] inventory""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] orders""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] suppliers""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] transactions_and_payments""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] events""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] refunds_returns""}",0
"{""Find the products in the cart that have a promotional discounted price less than $50, along with the customer's loyalty program tier level and the customer's accumulated loyalty points balance. [SEP] customerInfo""}",1
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] suppliers'}",1
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] shipping'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] products'}",1
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] inventory'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] order_items'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] orders'}",1
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] product_reviews_and_ratings'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] customers_loyalty_program'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] cart'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] campaigns'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] wishlist'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] customerInfo'}",1
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] refunds_returns'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] transactions_and_payments'}",0
"{'Find the number of suppliers for each country of operation, sorted in descending order. [SEP] events'}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] refunds_returns""}",1
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] events""}",1
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] transactions_and_payments""}",1
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] shipping""}",1
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] order_items""}",1
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] orders""}",1
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] product_reviews_and_ratings""}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] cart""}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] customers_loyalty_program""}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] campaigns""}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] inventory""}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] suppliers""}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] wishlist""}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] products""}",0
"{""Retrieve the total refund amount and the date when the refund was processed for orders that had events marked as 'Return'. [SEP] customerInfo""}",1
{'Find the total number of customers who are eligible for special promotions. [SEP] customers_loyalty_program'},1
{'Find the total number of customers who are eligible for special promotions. [SEP] campaigns'},0
{'Find the total number of customers who are eligible for special promotions. [SEP] suppliers'},0
{'Find the total number of customers who are eligible for special promotions. [SEP] events'},0
{'Find the total number of customers who are eligible for special promotions. [SEP] cart'},0
{'Find the total number of customers who are eligible for special promotions. [SEP] orders'},1
{'Find the total number of customers who are eligible for special promotions. [SEP] shipping'},0
{'Find the total number of customers who are eligible for special promotions. [SEP] customerInfo'},1
{'Find the total number of customers who are eligible for special promotions. [SEP] transactions_and_payments'},1
{'Find the total number of customers who are eligible for special promotions. [SEP] product_reviews_and_ratings'},0
{'Find the total number of customers who are eligible for special promotions. [SEP] products'},1
{'Find the total number of customers who are eligible for special promotions. [SEP] wishlist'},1
{'Find the total number of customers who are eligible for special promotions. [SEP] refunds_returns'},1
{'Find the total number of customers who are eligible for special promotions. [SEP] order_items'},1
{'Find the total number of customers who are eligible for special promotions. [SEP] inventory'},1
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] inventory'},1
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] products'},1
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] order_items'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] cart'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] wishlist'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] shipping'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] suppliers'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] product_reviews_and_ratings'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] refunds_returns'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] campaigns'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] orders'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] transactions_and_payments'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] events'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] customers_loyalty_program'},0
{'Find all products that have a standard retail price greater than 200 and an available stock quantity in units greater than 10 [SEP] customerInfo'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] customers_loyalty_program'},1
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] customerInfo'},1
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] cart'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] transactions_and_payments'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] shipping'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] wishlist'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] events'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] suppliers'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] refunds_returns'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] orders'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] campaigns'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] products'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] product_reviews_and_ratings'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] inventory'},0
{'List all the customers who have two-factor authentication enabled and their loyalty points [SEP] order_items'},0
"{""What is the average total transaction amount for orders with a total amount greater than $1000, and what is the average number of loyalty points earned for these transactions, considering only customers who have participated in the exclusive beta testing program and have a loyalty membership unique identifier greater than 5000, and have made a payment using the same billing and shipping address, and have not had any chargeback requests, and their transaction status is 'completed', and the transaction date and time is within the last 6 months? [SEP] customers_loyalty_program""}",1
